OlinkID,AssayType,UniProt,Assay,Panel,Block,DataAnalysisRefID,BimodalDistribution,LODNPX,LODCount,LODMethod
OID20419,assay,P60568,IL2,Inflammation,A,B04407,FALSE,1.12627116470328,1970,lod_npx
OID20420,assay,Q13651,IL10RA,Inflammation,A,B04407,FALSE,0.0213105378422108,6506,lod_npx
OID20421,assay,Q13219,PAPPA,Inflammation,A,B04407,FALSE,-0.871048364848172,968,lod_npx
OID20422,assay,Q9UHF4,IL20RA,Inflammation,A,B04407,FALSE,-0.637727325277319,2532,lod_npx
OID20423,assay,P63241,EIF5A,Inflammation,A,B04407,FALSE,0.614494667710144,4052,lod_npx
OID20424,assay,P05412,JUN,Inflammation,A,B04407,FALSE,-0.47092652593688,2488,lod_npx
OID20425,assay,Q96AX2,RAB37,Inflammation,A,B04407,FALSE,0.261015744163084,2444,lod_npx
OID20426,assay,P05112,IL4,Inflammation,A,B04407,FALSE,0.643267730650018,454,lod_npx
OID20427,assay,P01584,IL1B,Inflammation,A,B04407,FALSE,0.82828579242474,1496,lod_npx
OID20428,assay,O95760,IL33,Inflammation,A,B04407,FALSE,0.645079710903824,2972,lod_npx
OID20429,assay,Q8NHJ6,LILRB4,Inflammation,A,B04407,FALSE,-2.77964761069811,1644,lod_npx
OID20430,assay,P35225,IL13,Inflammation,A,B04407,FALSE,0.648788199327676,3384,lod_npx
OID20431,assay,P22301,IL10,Inflammation,A,B04407,FALSE,-6.43850984859061,522,lod_npx
OID20432,assay,P27540,ARNT,Inflammation,A,B04407,FALSE,-0.360963125090313,5430,lod_npx
OID20433,assay,O95379,TNFAIP8,Inflammation,A,B04407,FALSE,1.10258428975868,1522,lod_npx
OID20434,assay,Q8WV07,LTO1,Inflammation,A,B04407,FALSE,0.258104145226884,2666,lod_npx
OID20435,assay,O43707,ACTN4,Inflammation,A,B04407,FALSE,0.3457350764079,8754,lod_npx
OID20436,assay,P28838,LAP3,Inflammation,A,B04407,FALSE,0.257360583891295,1286,lod_npx
OID20437,assay,Q9NP70,AMBN,Inflammation,A,B04407,FALSE,-1.08004457561708,2054,lod_npx
OID20438,assay,Q6UXK5,LRRN1,Inflammation,A,B04407,FALSE,-3.35096606087165,4208,lod_npx
OID20439,assay,Q9HCU5,PREB,Inflammation,A,B04407,FALSE,0.19017334863916,4608,lod_npx
OID20440,assay,Q13007,IL24,Inflammation,A,B04407,FALSE,1.12017962214888,3072,lod_npx
OID20441,assay,Q9UPV0,CEP164,Inflammation,A,B04407,FALSE,0.425916599107186,3042,lod_npx
OID20442,assay,O60934,NBN,Inflammation,A,B04407,FALSE,-1.17259272210283,2748,lod_npx
OID20443,assay,Q96P31,FCRL3,Inflammation,A,B04407,FALSE,-0.875940810338881,2924,lod_npx
OID20444,assay,Q9Y478,PRKAB1,Inflammation,A,B04407,FALSE,-0.321176181410246,4448,lod_npx
OID20445,assay,Q8TCS8,PNPT1,Inflammation,A,B04407,FALSE,0.911285481220283,2654,lod_npx
OID20446,assay,Q5T4W7,ARTN,Inflammation,A,B04407,FALSE,-0.133348398157012,3538,lod_npx
OID20447,assay,Q5R372,RABGAP1L,Inflammation,A,B04407,FALSE,0.191093820874813,2146,lod_npx
OID20448,assay,Q969V3,NCLN,Inflammation,A,B04407,FALSE,0.648319670044317,5260,lod_npx
OID20449,assay,Q8N6P7,IL22RA1,Inflammation,A,B04407,FALSE,0.245891354749869,5652,lod_npx
OID20450,assay,P14784,IL2RB,Inflammation,A,B04407,FALSE,0.472162334662938,7750,lod_npx
OID20451,assay,Q13459,MYO9B,Inflammation,A,B04407,FALSE,-0.0656814707485922,2158,lod_npx
OID20452,assay,P19801,AOC1,Inflammation,A,B04407,FALSE,-1.03926677992609,1754,lod_npx
OID20453,assay,Q9NYY1,IL20,Inflammation,A,B04407,FALSE,-1.13084404877208,3812,lod_npx
OID20454,assay,P57771,RGS8,Inflammation,A,B04407,FALSE,0.184430545446657,4668,lod_npx
OID20455,assay,P20809,IL11,Inflammation,A,B04407,FALSE,1.05046667713381,1832,lod_npx
OID20456,assay,Q96PD4,IL17F,Inflammation,A,B04407,FALSE,-0.0189767197974474,2498,lod_npx
OID20457,assay,O76038,SCGN,Inflammation,A,B04407,FALSE,-0.965255550974021,1952,lod_npx
OID20458,assay,O95715,CXCL14,Inflammation,A,B04407,FALSE,-0.786633927045887,10646,lod_npx
OID20459,assay,Q03426,MVK,Inflammation,A,B04407,FALSE,-1.4440262905136,1240,lod_npx
OID20460,assay,O14904,WNT9A,Inflammation,A,B04407,FALSE,-1.11649365238773,4040,lod_npx
OID20461,assay,P26951,IL3RA,Inflammation,A,B04407,FALSE,0.111613729843158,22926,lod_npx
OID20462,assay,Q9Y3P8,SIT1,Inflammation,A,B04407,FALSE,-1.5648521416946,2430,lod_npx
OID20463,assay,Q96DB9,FXYD5,Inflammation,A,B04407,FALSE,0.132422767692274,2168,lod_npx
OID20464,assay,P48061,CXCL12,Inflammation,A,B04407,FALSE,0.0905619870421108,696,lod_npx
OID20465,assay,Q99748,NRTN,Inflammation,A,B04407,FALSE,1.85274835784539,1564,lod_npx
OID20466,assay,Q13574,DGKZ,Inflammation,A,B04407,FALSE,1.16334977134401,3372,lod_npx
OID20467,assay,Q9Y2J8,PADI2,Inflammation,A,B04407,FALSE,0.45680409934858,2604,lod_npx
OID20468,assay,Q04759,PRKCQ,Inflammation,A,B04407,FALSE,0.78825109615739,3582,lod_npx
OID20469,assay,Q16552,IL17A,Inflammation,A,B04407,FALSE,-0.0937035349566391,3202,lod_npx
